b,g,r,color
2,5,10,black
17,0,17,black
23,24,29,black
47,47,47,black
33,29,28,black
68,71,76,grey
7,2,1,black
8,0,4,black
7,7,4,black
5,5,5,black
8,8,8,black
2,5,10,black
23,23,23,black
7,2,1,black
0,0,0,black
8,0,4,black
0,0,0,black
2,2,2,black
2,2,2,black
39,36,31,brown
57,54,49,brown
0,0,0,black
37,37,37,black
54,49,48,brown
54,48,53,brown
255,0,0,red
119,51,0,brown
186,72,0,orange
179,117,0,orange
179,119,0,orange
255,127,0,orange
106,56,1,brown
252,101,1,orange
53,0,2,black
120,42,6,brown
233,191,12,yellow
87,59,15,brown
210,116,25,orange
221,193,26,yellow
168,130,34,brown
237,160,36,orange
254,253,65,yellow
142,115,79,brown
210,169,109,brown
219,173,132,brown
188,91,3,brown
176,12,0,red
255,0,0,red
143,48,0,brown
193,119,1,orange
42,44,74,blue
57,60,89,blue
55,78,111,blue
74,98,115,blue
79,106,122,blue
0,63,123,blue
47,57,126,blue
68,98,127,blue
66,94,133,blue
75,110,135,blue
53,69,149,blue
0,75,150,blue
60,98,152,blue
51,102,153,blue
64,91,158,blue
79,125,159,blue
112,129,159,blue
73,114,161,blue
0,121,168,blue
74,114,176,blue
135,158,182,blue
89,122,184,blue
85,136,187,blue
51,136,204,blue
142,194,226,blue
0,100,0,green
60,107,0,green
0,53,3,green
74,87,17,green
100,184,51,green
13,141,60,green
104,172,84,green
3,130,86,green
170,205,102,green
0,255,102,green
131,181,118,green
38,202,37,green
0,255,0,green
17,67,35,green
1,128,0,green
54,83,33,green
0,100,0,green
85,189,64,green
140,217,159,green
75,176,24,green
1,128,0,green
54,83,33,green
75,194,125,green
1,252,123,green
88,232,125,green
55,55,54,grey
82,85,78,grey
94,94,94,grey
109,106,102,grey
110,112,113,grey
124,122,114,grey
124,127,125,grey
128,128,128,grey
138,134,130,grey
146,132,131,grey
145,141,135,grey
140,145,149,grey
164,150,152,grey
152,155,156,grey
159,159,159,grey
168,169,168,grey
180,176,169,grey
174,175,171,grey
184,181,182,grey
187,187,187,grey
82,85,78,grey
94,94,94,grey
109,106,102,grey
110,112,113,grey
55,55,54,grey
35,97,235,blue
59,111,253,blue
0,103,254,blue
3,53,255,blue
33,87,255,blue
0,95,255,blue
0,102,255,blue
52,112,255,blue
36,113,255,blue
24,117,255,blue
0,127,255,blue
40,141,255,blue
0,160,255,blue
0,165,255,blue
0,103,255,blue
0,128,255,blue
0,103,254,blue
3,53,255,blue
0,103,255,blue
1,122,255,blue
0,102,255,blue
40,102,250,blue
0,153,255,blue
19,79,252,blue
0,127,255,blue
3,13,61,blue
2,0,254,blue
3,3,67,blue
19,1,115,blue
1,0,119,blue
0,0,132,blue
32,0,144,blue
0,17,148,blue
67,4,157,blue
75,5,176,blue
32,16,207,blue
0,0,254,blue
31,28,208,blue
53,15,253,blue
13,0,255,blue
0,0,132,blue
0,17,148,blue
32,16,207,blue
15,9,198,blue
23,23,210,blue
0,24,200,blue
11,1,201,blue
0,0,139,blue
18,21,160,blue
24,24,128,blue
86,0,65,violet
130,0,75,violet
88,0,114,violet
169,81,120,violet
127,84,122,violet
152,62,127,violet
128,0,128,violet
144,55,128,violet
133,69,137,violet
160,44,154,violet
182,81,156,violet
162,67,158,violet
160,66,164,violet
253,10,173,violet
220,110,181,violet
212,144,183,violet
254,19,188,violet
255,0,191,violet
246,119,191,violet
255,0,204,violet
255,0,159,violet
255,0,127,violet
255,0,145,violet
255,0,127,violet
255,0,145,violet
204,192,188,white
193,189,191,white
195,200,191,white
192,192,192,white
201,198,192,white
199,198,197,white
198,197,198,white
209,202,201,white
208,204,205,white
240,234,232,white
205,209,210,white
210,215,214,white
224,223,217,white
236,236,236,white
221,217,216,white
251,251,253,white
254,249,248,white
242,255,255,white
230,240,250,white
231,237,255,white
227,239,243,white
221,224,229,white
228,233,242,white
251,252,253,white
228,233,242,white
10,182,213,cyan
79,255,223,cyan
22,209,252,cyan
93,252,252,cyan
92,220,253,cyan
127,255,254,cyan
2,227,255,cyan
121,252,255,cyan
1,253,255,cyan
64,254,255,cyan
122,254,255,cyan
17,255,255,cyan
20,255,255,cyan
49,255,255,cyan
51,255,255,cyan
33,243,249,cyan
255,255,255,white
244,230,188,yellow
0,242,254,cyan
23,224,247,cyan
255,255,255,white
0,255,255,cyan
0,166,255,blue
94,217,249,cyan
39,191,246,cyan
